id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship
182,1/27/2021 18:00,728,828,1,19.42569923,-99.17050171,"19.425699234,-99.170501709",11,0,0
183,1/27/2021 18:00,737,837,1,19.48679924,-99.11799622,"19.4867992401,-99.1179962158",6,0,0
184,1/27/2021 18:00,746,846,1,19.42399979,-99.17990112,"19.4239997864,-99.179901123",7,0,0
185,1/27/2021 18:00,754,906,2,19.48719978,-99.11380005,"19.4871997833,-99.1138000488",0,534,0
186,1/27/2021 18:00,758,910,2,19.49309921,-99.12090302,"19.4930992126,-99.1209030151",0,1549,0
187,1/27/2021 18:00,764,916,2,19.42690086,-99.19979858,"19.4269008636,-99.199798584",0,364,2
188,1/27/2021 18:00,777,929,2,19.49200058,-99.12030029,"19.4920005798,-99.120300293",0,1412,0
189,1/27/2021 18:00,523,1011,2,19.4272995,-99.16139984,"19.4272994995,-99.1613998413",2,0,2
190,1/27/2021 18:00,533,1059,2,19.29649925,-99.18520355,"19.2964992523,-99.1852035522",12,511,0
191,1/27/2021 18:00,1254,1065,2,19.27910042,-99.16919708,"19.2791004181,-99.1691970825",0,428,2
192,1/27/2021 18:00,1256,1067,2,19.49900055,-99.11959839,"19.4990005493,-99.1195983887",0,0,2
193,1/27/2021 18:00,1044,1084,2,19.36459923,-99.18199921,"19.3645992279,-99.1819992065",0,483,2
194,1/27/2021 18:00,1248,1121,1,19.44709969,-99.15309906,"19.4470996857,-99.1530990601",0,0,0
195,1/27/2021 18:00,1284,1256,2,19.44129944,-99.1548996,"19.4412994385,-99.1548995972",2,257,2
196,1/27/2021 18:00,1072,1309,1,19.49760056,-99.11940002,"19.4976005554,-99.1194000244",0,0,2
197,1/27/2021 18:00,1216,2315,2,19.38909912,-99.04949951,"19.3890991211,-99.0494995117",9,183,0
198,1/27/2021 18:00,1218,2317,2,19.39360046,-99.13200378,"19.3936004639,-99.1320037842",9,507,0
199,1/27/2021 18:00,1225,2341,2,19.39769936,-99.1088028,"19.3976993561,-99.1088027954",6,0,0
200,1/27/2021 18:00,1226,2342,2,19.38929939,-99.05919647,"19.3892993927,-99.0591964722",0,1845,2
201,1/27/2021 18:00,1227,2343,2,19.39579964,-99.09320068,"19.3957996368,-99.0932006836",13,331,0
202,1/27/2021 18:00,1238,2347,2,19.4034996,-99.16989899,"19.4034996033,-99.1698989868",7,0,0
203,1/27/2021 18:00,1024,2351,2,19.39089966,-99.04730225,"19.3908996582,-99.0473022461",0,0,0
204,1/27/2021 18:00,10002,2358,2,19.39730072,-99.104599,"19.3973007202,-99.104598999",7,0,0
205,1/27/2021 18:00,1232,2363,2,19.39389992,-99.13749695,"19.3938999176,-99.1374969482",14,0,0
206,1/27/2021 18:00,1235,2366,2,19.39509964,-99.14579773,"19.3950996399,-99.1457977295",0,276,0
